record_type,source,target,layer,role,incident,step,reliability,action,source_episode,cluster_id
service_scope_edge,utility_restoration_distribution_node_01_1,utility_restoration_incident_01,service,distribution_node,01,2,1.0,service_scope,raw/development_dynamic/v6-development_dynamic-utility_restoration-compound-private_fragmented-e66101-combined_generalized_entropic_crossfit-c050-event_triggered/episode.json.gz,utility_restoration|compound|private_fragmented|66101
delivered_sketch,utility_restoration_distribution_node_01_1,utility_restoration_field_crew_01_2,communication,distribution_node,01,2,0.8322239428457789,entropy_sketch,raw/development_dynamic/v6-development_dynamic-utility_restoration-compound-private_fragmented-e66101-combined_generalized_entropic_crossfit-c050-event_triggered/episode.json.gz,utility_restoration|compound|private_fragmented|66101
delivered_sketch,utility_restoration_distribution_node_01_1,utility_restoration_communications_01_3,communication,distribution_node,01,2,0.7522548760914796,entropy_sketch,raw/development_dynamic/v6-development_dynamic-utility_restoration-compound-private_fragmented-e66101-combined_generalized_entropic_crossfit-c050-event_triggered/episode.json.gz,utility_restoration|compound|private_fragmented|66101
delivered_sketch,utility_restoration_field_crew_01_2,utility_restoration_distribution_node_01_1,communication,field_crew,01,2,0.8710979617851985,entropy_sketch,raw/development_dynamic/v6-development_dynamic-utility_restoration-compound-private_fragmented-e66101-combined_generalized_entropic_crossfit-c050-event_triggered/episode.json.gz,utility_restoration|compound|private_fragmented|66101
delivered_sketch,utility_restoration_communications_01_3,utility_restoration_distribution_node_01_1,communication,communications,01,2,0.7269024309149764,entropy_sketch,raw/development_dynamic/v6-development_dynamic-utility_restoration-compound-private_fragmented-e66101-combined_generalized_entropic_crossfit-c050-event_triggered/episode.json.gz,utility_restoration|compound|private_fragmented|66101
delivered_sketch,utility_restoration_communications_01_3,utility_restoration_field_crew_01_2,communication,communications,01,2,0.8306382518664921,entropy_sketch,raw/development_dynamic/v6-development_dynamic-utility_restoration-compound-private_fragmented-e66101-combined_generalized_entropic_crossfit-c050-event_triggered/episode.json.gz,utility_restoration|compound|private_fragmented|66101
delivered_sketch,utility_restoration_field_crew_02_1,utility_restoration_communications_02_2,communication,field_crew,02,2,0.7291748135566829,entropy_sketch,raw/development_dynamic/v6-development_dynamic-utility_restoration-compound-private_fragmented-e66101-combined_generalized_entropic_crossfit-c050-event_triggered/episode.json.gz,utility_restoration|compound|private_fragmented|66101
delivered_sketch,utility_restoration_field_crew_02_1,utility_restoration_cyber_defense_02_3,communication,field_crew,02,2,0.8722250953062818,entropy_sketch,raw/development_dynamic/v6-development_dynamic-utility_restoration-compound-private_fragmented-e66101-combined_generalized_entropic_crossfit-c050-event_triggered/episode.json.gz,utility_restoration|compound|private_fragmented|66101
delivered_sketch,utility_restoration_communications_02_2,utility_restoration_field_crew_02_1,communication,communications,02,2,0.81241600343606,entropy_sketch,raw/development_dynamic/v6-development_dynamic-utility_restoration-compound-private_fragmented-e66101-combined_generalized_entropic_crossfit-c050-event_triggered/episode.json.gz,utility_restoration|compound|private_fragmented|66101
delivered_sketch,utility_restoration_communications_02_2,utility_restoration_cyber_defense_02_3,communication,communications,02,2,0.9542522951415481,entropy_sketch,raw/development_dynamic/v6-development_dynamic-utility_restoration-compound-private_fragmented-e66101-combined_generalized_entropic_crossfit-c050-event_triggered/episode.json.gz,utility_restoration|compound|private_fragmented|66101
delivered_sketch,utility_restoration_cyber_defense_02_3,utility_restoration_field_crew_02_1,communication,cyber_defense,02,2,0.7823561660099859,entropy_sketch,raw/development_dynamic/v6-development_dynamic-utility_restoration-compound-private_fragmented-e66101-combined_generalized_entropic_crossfit-c050-event_triggered/episode.json.gz,utility_restoration|compound|private_fragmented|66101
delivered_sketch,utility_restoration_cyber_defense_02_3,utility_restoration_communications_02_2,communication,cyber_defense,02,2,0.9484121648091794,entropy_sketch,raw/development_dynamic/v6-development_dynamic-utility_restoration-compound-private_fragmented-e66101-combined_generalized_entropic_crossfit-c050-event_triggered/episode.json.gz,utility_restoration|compound|private_fragmented|66101
delivered_sketch,utility_restoration_communications_03_1,utility_restoration_cyber_defense_03_2,communication,communications,03,2,0.7791928043515886,entropy_sketch,raw/development_dynamic/v6-development_dynamic-utility_restoration-compound-private_fragmented-e66101-combined_generalized_entropic_crossfit-c050-event_triggered/episode.json.gz,utility_restoration|compound|private_fragmented|66101
delivered_sketch,utility_restoration_communications_03_1,utility_restoration_resource_allocation_03_3,communication,communications,03,2,0.7288786455923644,entropy_sketch,raw/development_dynamic/v6-development_dynamic-utility_restoration-compound-private_fragmented-e66101-combined_generalized_entropic_crossfit-c050-event_triggered/episode.json.gz,utility_restoration|compound|private_fragmented|66101
delivered_sketch,utility_restoration_cyber_defense_03_2,utility_restoration_communications_03_1,communication,cyber_defense,03,2,0.9017995360066933,entropy_sketch,raw/development_dynamic/v6-development_dynamic-utility_restoration-compound-private_fragmented-e66101-combined_generalized_entropic_crossfit-c050-event_triggered/episode.json.gz,utility_restoration|compound|private_fragmented|66101
delivered_sketch,utility_restoration_cyber_defense_03_2,utility_restoration_resource_allocation_03_3,communication,cyber_defense,03,2,0.8327583091336588,entropy_sketch,raw/development_dynamic/v6-development_dynamic-utility_restoration-compound-private_fragmented-e66101-combined_generalized_entropic_crossfit-c050-event_triggered/episode.json.gz,utility_restoration|compound|private_fragmented|66101
delivered_sketch,utility_restoration_resource_allocation_03_3,utility_restoration_cyber_defense_03_2,communication,resource_allocation,03,2,0.7818265743998574,entropy_sketch,raw/development_dynamic/v6-development_dynamic-utility_restoration-compound-private_fragmented-e66101-combined_generalized_entropic_crossfit-c050-event_triggered/episode.json.gz,utility_restoration|compound|private_fragmented|66101
delivered_sketch,utility_restoration_cyber_defense_04_1,utility_restoration_resource_allocation_04_2,communication,cyber_defense,04,2,0.9485473129946849,entropy_sketch,raw/development_dynamic/v6-development_dynamic-utility_restoration-compound-private_fragmented-e66101-combined_generalized_entropic_crossfit-c050-event_triggered/episode.json.gz,utility_restoration|compound|private_fragmented|66101
delivered_sketch,utility_restoration_cyber_defense_04_1,utility_restoration_critical_load_04_3,communication,cyber_defense,04,2,0.9618353957332488,entropy_sketch,raw/development_dynamic/v6-development_dynamic-utility_restoration-compound-private_fragmented-e66101-combined_generalized_entropic_crossfit-c050-event_triggered/episode.json.gz,utility_restoration|compound|private_fragmented|66101
delivered_sketch,utility_restoration_resource_allocation_04_2,utility_restoration_cyber_defense_04_1,communication,resource_allocation,04,2,0.9071869974067979,entropy_sketch,raw/development_dynamic/v6-development_dynamic-utility_restoration-compound-private_fragmented-e66101-combined_generalized_entropic_crossfit-c050-event_triggered/episode.json.gz,utility_restoration|compound|private_fragmented|66101
delivered_sketch,utility_restoration_resource_allocation_04_2,utility_restoration_critical_load_04_3,communication,resource_allocation,04,2,0.9132675538719947,entropy_sketch,raw/development_dynamic/v6-development_dynamic-utility_restoration-compound-private_fragmented-e66101-combined_generalized_entropic_crossfit-c050-event_triggered/episode.json.gz,utility_restoration|compound|private_fragmented|66101
delivered_sketch,utility_restoration_critical_load_04_3,utility_restoration_cyber_defense_04_1,communication,critical_load,04,2,0.776785164323516,entropy_sketch,raw/development_dynamic/v6-development_dynamic-utility_restoration-compound-private_fragmented-e66101-combined_generalized_entropic_crossfit-c050-event_triggered/episode.json.gz,utility_restoration|compound|private_fragmented|66101
delivered_sketch,utility_restoration_critical_load_04_3,utility_restoration_resource_allocation_04_2,communication,critical_load,04,2,0.8146256309134585,entropy_sketch,raw/development_dynamic/v6-development_dynamic-utility_restoration-compound-private_fragmented-e66101-combined_generalized_entropic_crossfit-c050-event_triggered/episode.json.gz,utility_restoration|compound|private_fragmented|66101
restoration_action,utility_restoration_field_crew_01_2,utility_restoration_incident_01,restoration,field_crew,01,2,1.0,reroute_or_reconfigure,raw/development_dynamic/v6-development_dynamic-utility_restoration-compound-private_fragmented-e66101-combined_generalized_entropic_crossfit-c050-event_triggered/episode.json.gz,utility_restoration|compound|private_fragmented|66101
restoration_action,utility_restoration_field_crew_02_1,utility_restoration_incident_02,restoration,field_crew,02,2,1.0,isolate_or_quarantine,raw/development_dynamic/v6-development_dynamic-utility_restoration-compound-private_fragmented-e66101-combined_generalized_entropic_crossfit-c050-event_triggered/episode.json.gz,utility_restoration|compound|private_fragmented|66101
restoration_action,utility_restoration_cyber_defense_04_1,utility_restoration_incident_04,restoration,cyber_defense,04,3,1.0,verify,raw/development_dynamic/v6-development_dynamic-utility_restoration-compound-private_fragmented-e66101-combined_generalized_entropic_crossfit-c050-event_triggered/episode.json.gz,utility_restoration|compound|private_fragmented|66101
restoration_action,utility_restoration_field_crew_02_1,utility_restoration_incident_02,restoration,field_crew,02,4,1.0,isolate_or_quarantine,raw/development_dynamic/v6-development_dynamic-utility_restoration-compound-private_fragmented-e66101-combined_generalized_entropic_crossfit-c050-event_triggered/episode.json.gz,utility_restoration|compound|private_fragmented|66101
restoration_action,utility_restoration_resource_allocation_03_3,utility_restoration_incident_03,restoration,resource_allocation,03,4,1.0,authorize_emergency_resource,raw/development_dynamic/v6-development_dynamic-utility_restoration-compound-private_fragmented-e66101-combined_generalized_entropic_crossfit-c050-event_triggered/episode.json.gz,utility_restoration|compound|private_fragmented|66101
restoration_action,utility_restoration_cyber_defense_04_1,utility_restoration_incident_04,restoration,cyber_defense,04,5,1.0,reroute_or_reconfigure,raw/development_dynamic/v6-development_dynamic-utility_restoration-compound-private_fragmented-e66101-combined_generalized_entropic_crossfit-c050-event_triggered/episode.json.gz,utility_restoration|compound|private_fragmented|66101
restoration_action,utility_restoration_distribution_node_01_1,utility_restoration_incident_01,restoration,distribution_node,01,6,1.0,deploy_repair_capacity,raw/development_dynamic/v6-development_dynamic-utility_restoration-compound-private_fragmented-e66101-combined_generalized_entropic_crossfit-c050-event_triggered/episode.json.gz,utility_restoration|compound|private_fragmented|66101
restoration_action,utility_restoration_field_crew_02_1,utility_restoration_incident_02,restoration,field_crew,02,6,1.0,isolate_or_quarantine,raw/development_dynamic/v6-development_dynamic-utility_restoration-compound-private_fragmented-e66101-combined_generalized_entropic_crossfit-c050-event_triggered/episode.json.gz,utility_restoration|compound|private_fragmented|66101
restoration_action,utility_restoration_cyber_defense_04_1,utility_restoration_incident_04,restoration,cyber_defense,04,7,1.0,request_peer_evidence,raw/development_dynamic/v6-development_dynamic-utility_restoration-compound-private_fragmented-e66101-combined_generalized_entropic_crossfit-c050-event_triggered/episode.json.gz,utility_restoration|compound|private_fragmented|66101
restoration_action,utility_restoration_distribution_node_01_1,utility_restoration_incident_01,restoration,distribution_node,01,8,1.0,deploy_repair_capacity,raw/development_dynamic/v6-development_dynamic-utility_restoration-compound-private_fragmented-e66101-combined_generalized_entropic_crossfit-c050-event_triggered/episode.json.gz,utility_restoration|compound|private_fragmented|66101
restoration_action,utility_restoration_cyber_defense_02_3,utility_restoration_incident_02,restoration,cyber_defense,02,8,1.0,isolate_or_quarantine,raw/development_dynamic/v6-development_dynamic-utility_restoration-compound-private_fragmented-e66101-combined_generalized_entropic_crossfit-c050-event_triggered/episode.json.gz,utility_restoration|compound|private_fragmented|66101
restoration_action,utility_restoration_communications_03_1,utility_restoration_incident_03,restoration,communications,03,9,1.0,isolate_or_quarantine,raw/development_dynamic/v6-development_dynamic-utility_restoration-compound-private_fragmented-e66101-combined_generalized_entropic_crossfit-c050-event_triggered/episode.json.gz,utility_restoration|compound|private_fragmented|66101
restoration_action,utility_restoration_field_crew_01_2,utility_restoration_incident_01,restoration,field_crew,01,10,1.0,reroute_or_reconfigure,raw/development_dynamic/v6-development_dynamic-utility_restoration-compound-private_fragmented-e66101-combined_generalized_entropic_crossfit-c050-event_triggered/episode.json.gz,utility_restoration|compound|private_fragmented|66101
