current_path,proposed_final_path,disposition,referenced_by,historical_record_references,scientific_role,evidence_deletion_safe,replacement,sha256,bytes
scripts/analyze-v6-development.sh,,delete_after_reference_check,,,superseded entropy-controller workflow,"no active reference; functionality replaced by scripts/analyze-results.sh; historical manifests are records, not runtime dependencies",scripts/analyze-results.sh,de7836b3326339fa8d1f7223e2be2fc72bb45d3c7f7d95457b8072435a5fd7b8,1556
scripts/analyze-v6-pilot.sh,,delete_after_reference_check,,,superseded entropy-controller workflow,"no active reference; functionality replaced by scripts/analyze-results.sh; historical manifests are records, not runtime dependencies",scripts/analyze-results.sh,5cc04e8002fe0ccc2581810d3ca62a1523c97554b5b4035b6b66764e5a891191,685
scripts/analyze-v7-development.sh,,delete_after_reference_check,,,superseded entropy-controller workflow,"no active reference; functionality replaced by scripts/analyze-results.sh; historical manifests are records, not runtime dependencies",scripts/analyze-results.sh,ab1b1634e170b854924af56bdb9708b28e3da62f4b24cb82a0aeb1979bf21c02,260
scripts/analyze-v7-pilots.sh,,delete_after_reference_check,,,superseded entropy-controller workflow,"no active reference; functionality replaced by scripts/analyze-results.sh; historical manifests are records, not runtime dependencies",scripts/analyze-results.sh,02ca138caa7eaeb28c16f2b34aa0c8fe55bbe4a7655c921ee09577fcb70291c7,247
scripts/analyze-v8-calibration.sh,,delete_after_reference_check,,,superseded entropy-controller workflow,"no active reference; functionality replaced by scripts/analyze-results.sh; historical manifests are records, not runtime dependencies",scripts/analyze-results.sh,a48b5830f471ed3c22750b247324c3e3fb5a4b07dc7dde5cf186632b71133449,358
scripts/analyze-v8-development.sh,,delete_after_reference_check,,,superseded entropy-controller workflow,"no active reference; functionality replaced by scripts/analyze-results.sh; historical manifests are records, not runtime dependencies",scripts/analyze-results.sh,008fe5eaf2dadd27ef7ceafc2ce9f641a59a33c832e71d553f22e505e05fe15c,317
scripts/analyze-v8-no-go.sh,,delete_after_reference_check,,,superseded entropy-controller workflow,"no active reference; functionality replaced by scripts/analyze-results.sh; historical manifests are records, not runtime dependencies",scripts/analyze-results.sh,8b6d0d133bd4a987db3ee513aad349ff7e8e202b88e62fb333a3f50859c9db06,346
scripts/analyze-v8-pilots.sh,,delete_after_reference_check,,,superseded entropy-controller workflow,"no active reference; functionality replaced by scripts/analyze-results.sh; historical manifests are records, not runtime dependencies",scripts/analyze-results.sh,5e5fb87e10ffd2796ff499e470ad81f09e64c9f7c5846cba6145e84b3e940b6d,283
scripts/audit-doet-h4-evaluability.py,,delete_after_reference_check,,,abandoned logistics workflow,"no active reference; functionality replaced by Git history; no current publication workflow role; historical manifests are records, not runtime dependencies",Git history; no current publication workflow role,9a5b335b5439d28b3a12da7048bfe865cf06ccd4774d1ef088506894efb4711d,6565
scripts/audit-statmech-v14.sh,,delete_after_reference_check,,results/JSTAT/stages/corrected_quench/provenance/preconsolidation_index.csv; results/JSTAT/stages/corrected_quench/provenance/preconsolidation_repository_manifest.csv,consolidated final-study stage wrapper,"no active reference; functionality replaced by Git history; no current publication workflow role; historical manifests are records, not runtime dependencies",Git history; no current publication workflow role,225fc926c6c3b79f6a7d1f533868e2269f9021eb72f82148a33392cede8598d7,726
scripts/build-human-operator-v4-report.sh,,delete_after_reference_check,,,abandoned human-operator workflow,"no active reference; functionality replaced by scripts/analyze-results.sh; scripts/verify-results.sh; historical manifests are records, not runtime dependencies",scripts/analyze-results.sh; scripts/verify-results.sh,0a5648c13f9b3fb793c8299a98e98510bfec6573257e0435c404c9996c779500,552
scripts/build-human-operator-v5-report.sh,,delete_after_reference_check,,,abandoned human-operator workflow,"no active reference; functionality replaced by scripts/analyze-results.sh; scripts/verify-results.sh; historical manifests are records, not runtime dependencies",scripts/analyze-results.sh; scripts/verify-results.sh,762ee27bd70ce10fa521af788ca1d18e74d1624f73aeb155bdc5874e6eee9b45,681
scripts/build-jstat-paper.sh,scripts/build-jstat-paper.sh,retain,README.md; docs/reproducibility.md; docs/validation.md; thermoagent/statmech_llm/corrected_quench/reporting.py; thermoagent/statmech_llm/discovery/reporting.py; thermoagent/statmech_llm/replication/reporting.py; thermoagent/statmech_llm/reporting.py; thermoagent/statmech_llm/repository_audit.py; thermoagent/statmech_llm/workflow.py,results/JSTAT/stages/cross_model/provenance/stage_record.md,build the canonical JSTAT manuscript,retained in positive final workflow closure,scripts/build-jstat-paper.sh,40c04dc30d216abc1fde314f47e0e1c6ce83462fde6155b76dac0488e3cbba43,1093
scripts/build-statmech-v11-results.sh,,delete_after_reference_check,,,superseded early statistical-mechanics workflow,"no active reference; functionality replaced by scripts/analyze-results.sh; scripts/verify-results.sh; historical manifests are records, not runtime dependencies",scripts/analyze-results.sh; scripts/verify-results.sh,43fb0cf0402974824a1897952e4aefa203cc77b4faadee6b993f0ee9488155a0,275
scripts/build-statmech-v12-paper.sh,,delete_after_reference_check,,results/JSTAT/stages/discovery/provenance/stage_record.md,consolidated final-study stage wrapper,"no active reference; functionality replaced by scripts/build-jstat-paper.sh; historical manifests are records, not runtime dependencies",scripts/build-jstat-paper.sh,6b5fd9047a8a7616e9458a46acf38c30dac7c7a9972c67fc3401a99731d3d0d7,598
scripts/build-statmech-v12-results.sh,,delete_after_reference_check,,results/JSTAT/stages/discovery/provenance/stage_record.md,consolidated final-study stage wrapper,"no active reference; functionality replaced by scripts/analyze-results.sh; scripts/verify-results.sh; historical manifests are records, not runtime dependencies",scripts/analyze-results.sh; scripts/verify-results.sh,34848cc99146c3c1fccf0d4af4edab2ef186cc4222d9f5e2edfe8efcc498060b,325
scripts/build-statmech-v13-paper.sh,,delete_after_reference_check,,results/JSTAT/stages/replication/provenance/preconsolidation_repository_manifest.csv; results/JSTAT/stages/replication/provenance/stage_record.md,consolidated final-study stage wrapper,"no active reference; functionality replaced by scripts/build-jstat-paper.sh; historical manifests are records, not runtime dependencies",scripts/build-jstat-paper.sh,fbc4b59bfafcf82a5de244f7fbc04d07100f1a7d70280a0fab58430b661d4986,315
scripts/build-statmech-v13-results.sh,,delete_after_reference_check,,results/JSTAT/stages/replication/provenance/preconsolidation_repository_manifest.csv; results/JSTAT/stages/replication/provenance/stage_record.md,consolidated final-study stage wrapper,"no active reference; functionality replaced by scripts/analyze-results.sh; scripts/verify-results.sh; historical manifests are records, not runtime dependencies",scripts/analyze-results.sh; scripts/verify-results.sh,cb4f1dcbd14b260fd3b19a6a9622f5ae669a0862c6a33260327b8d279420ec20,325
scripts/build-statmech-v14-paper.sh,,delete_after_reference_check,,results/JSTAT/stages/corrected_quench/corrections/scientific_audit_1_1/historical_original/report.md; results/JSTAT/stages/corrected_quench/provenance/preconsolidation_index.csv; results/JSTAT/stages/corrected_quench/provenance/preconsolidation_repository_manifest.csv; results/JSTAT/stages/corrected_quench/provenance/stage_record.md,consolidated final-study stage wrapper,"no active reference; functionality replaced by scripts/build-jstat-paper.sh; historical manifests are records, not runtime dependencies",scripts/build-jstat-paper.sh,fcac6b591522a01fad996530666d10ebe4336c296bd9adb33d08a894d4bd53c4,196
scripts/build-statmech-v14-results.sh,,delete_after_reference_check,,results/JSTAT/stages/corrected_quench/corrections/scientific_audit_1_1/historical_original/report.md; results/JSTAT/stages/corrected_quench/provenance/preconsolidation_index.csv; results/JSTAT/stages/corrected_quench/provenance/preconsolidation_repository_manifest.csv; results/JSTAT/stages/corrected_quench/provenance/stage_record.md,consolidated final-study stage wrapper,"no active reference; functionality replaced by scripts/analyze-results.sh; scripts/verify-results.sh; historical manifests are records, not runtime dependencies",scripts/analyze-results.sh; scripts/verify-results.sh,ca19ec63e3908d7c0715d0300ae45f71942ff7a0f56eb5a1a2892ae50b7d11a8,300
scripts/build-statmech-v15-results.sh,,delete_after_reference_check,,results/JSTAT/stages/cross_model/provenance/preconsolidation_index.csv; results/JSTAT/stages/cross_model/provenance/preconsolidation_repository_manifest.csv; results/JSTAT/stages/cross_model/provenance/stage_record.md,consolidated final-study stage wrapper,"no active reference; functionality replaced by scripts/analyze-results.sh; scripts/verify-results.sh; historical manifests are records, not runtime dependencies",scripts/analyze-results.sh; scripts/verify-results.sh,0d05c8d767efd1d4324408adc139e3735b128eeaec47f6afb0ac251444df63de,400
scripts/build-v6-report.sh,,delete_after_reference_check,,,superseded entropy-controller workflow,"no active reference; functionality replaced by scripts/analyze-results.sh; scripts/verify-results.sh; historical manifests are records, not runtime dependencies",scripts/analyze-results.sh; scripts/verify-results.sh,0f72088759b5a956cf1102ea3bc86214447cbcdd821fb09d4712b3cbaef88431,597
scripts/build-v7-report.sh,,delete_after_reference_check,,,superseded entropy-controller workflow,"no active reference; functionality replaced by scripts/analyze-results.sh; scripts/verify-results.sh; historical manifests are records, not runtime dependencies",scripts/analyze-results.sh; scripts/verify-results.sh,5c84be017ab0fe57e1a9589913a62abfe333f5f05c1657c2ac6326ff1d6504d0,245
scripts/build-v8-report.sh,,delete_after_reference_check,,,superseded entropy-controller workflow,"no active reference; functionality replaced by scripts/analyze-results.sh; scripts/verify-results.sh; historical manifests are records, not runtime dependencies",scripts/analyze-results.sh; scripts/verify-results.sh,744edf902527349ed8aeaba530c925a77a7bef1cb43a4e810a879cc6800cf8af,458
scripts/calibrate-v6-escalation.sh,,delete_after_reference_check,,,superseded entropy-controller workflow,"no active reference; functionality replaced by Git history; no current publication workflow role; historical manifests are records, not runtime dependencies",Git history; no current publication workflow role,04b2a7349608e7b9b69a850fc1259297f6b4b659c8762d41a296d7f716902020,711
scripts/capture-reproducibility.sh,,delete_after_reference_check,,,abandoned legacy repository workflow,"no active reference; functionality replaced by Git history; no current publication workflow role; historical manifests are records, not runtime dependencies",Git history; no current publication workflow role,3c91c0cf11e89ffe73c6dabfa129c1e1e58b7319a7a7165869e162640b34985a,189
scripts/capture-v8-environment.sh,,delete_after_reference_check,,,superseded entropy-controller workflow,"no active reference; functionality replaced by Git history; no current publication workflow role; historical manifests are records, not runtime dependencies",Git history; no current publication workflow role,c050ad599ccea8fc60e9be9963d0db82408f4beca00a5726355e625c6da00cfe,468
scripts/check-human-operator-v4-unlock.sh,,delete_after_reference_check,,,abandoned human-operator workflow,"no active reference; functionality replaced by Git history; no current publication workflow role; historical manifests are records, not runtime dependencies",Git history; no current publication workflow role,1d4f5727929d8246c381ebecc956585938511ede446e505264d5c521717ceed6,831
scripts/close-v8-development-no-go.sh,,delete_after_reference_check,,,superseded entropy-controller workflow,"no active reference; functionality replaced by Git history; no current publication workflow role; historical manifests are records, not runtime dependencies",Git history; no current publication workflow role,26ae9f5764892529364759276526dba16474152a64ea093905af7c12cf34e13a,490
scripts/compact-v7-artifacts.sh,,delete_after_reference_check,,,superseded entropy-controller workflow,"no active reference; functionality replaced by Git history; no current publication workflow role; historical manifests are records, not runtime dependencies",Git history; no current publication workflow role,307631ea5fa342dee74f559281705599fa0f7bfbb2f52b4a5fd40b934254fe49,223
scripts/compact-v8-artifacts.sh,,delete_after_reference_check,,,superseded entropy-controller workflow,"no active reference; functionality replaced by Git history; no current publication workflow role; historical manifests are records, not runtime dependencies",Git history; no current publication workflow role,38821a1b641d1a35213f84c568f6574cdadbe9f13b594ffcb46aa21ca14bde70,1433
scripts/compare-reconstruction.py,scripts/compare-reconstruction.py,retain,tests/statmech_llm/cross_model/test_reconstruction_compare.py; thermoagent/statmech_llm/repository_audit.py; thermoagent/statmech_llm/workflow.py,,compare reconstructed and retained aggregate science,retained in positive final workflow closure,scripts/compare-reconstruction.py,09788b9688640f1175aa38242e61e2125969ec964d865384f116eba4be9aa7cf,15768
scripts/design-doet-holdout.sh,,delete_after_reference_check,,,abandoned logistics workflow,"no active reference; functionality replaced by Git history; no current publication workflow role; historical manifests are records, not runtime dependencies",Git history; no current publication workflow role,fcd5e1280d784d12ea07ccd498fcb10f92e63bbcc1e2e27b6a5ffbc12f2e3d30,371
scripts/design-human-operator-holdout.sh,,delete_after_reference_check,,,abandoned human-operator workflow,"no active reference; functionality replaced by Git history; no current publication workflow role; historical manifests are records, not runtime dependencies",Git history; no current publication workflow role,072c07ea22738cf34cc01d12840abaa94ad9ce8363c1576200f992fb570a192f,152
scripts/design-human-operator-v4-holdout.sh,,delete_after_reference_check,,,abandoned human-operator workflow,"no active reference; functionality replaced by Git history; no current publication workflow role; historical manifests are records, not runtime dependencies",Git history; no current publication workflow role,3ff930c24a8ab2662a2cf2e195b8ac5a1931953bc6ca89d3bcf3111737b92209,172
scripts/doet-job-status.sh,,delete_after_reference_check,,,abandoned logistics workflow,"no active reference; functionality replaced by Git history; no current publication workflow role; historical manifests are records, not runtime dependencies",Git history; no current publication workflow role,53190c5145f77eedc90655cf6bb311f0387fe01c5aac9512c6a12d7c8533d5f1,1247
scripts/evaluate-human-operator-v5-gates.sh,,delete_after_reference_check,,,abandoned human-operator workflow,"no active reference; functionality replaced by Git history; no current publication workflow role; historical manifests are records, not runtime dependencies",Git history; no current publication workflow role,4bd784f59d29fe9f9f618187b2d24e5908401375b42640e76c9e801f6a4a85e6,318
scripts/evaluate-v6-gates.sh,,delete_after_reference_check,,,superseded entropy-controller workflow,"no active reference; functionality replaced by Git history; no current publication workflow role; historical manifests are records, not runtime dependencies",Git history; no current publication workflow role,9d7a59e3728986ac4a642e8b41f084f0e82e62c2cd13ccc50edaed556460400b,685
scripts/evaluate-v7-gates.sh,,delete_after_reference_check,,,superseded entropy-controller workflow,"no active reference; functionality replaced by Git history; no current publication workflow role; historical manifests are records, not runtime dependencies",Git history; no current publication workflow role,330f98f88112ecc100616ce21bc8741198996479d3fb1ab3c390d44b68ad1558,263
scripts/finalize-statmech-v12-figures.py,,delete_after_reference_check,,results/JSTAT/stages/discovery/provenance/stage_record.md,consolidated final-study stage wrapper,"no active reference; functionality replaced by scripts/generate-figures.sh; historical manifests are records, not runtime dependencies",scripts/generate-figures.sh,35019c0d92f50ef89932b3f40665e695e3dcbc9d8a45fc55075c6d4908cfcad5,14619
scripts/freeze-doet-holdout.sh,,delete_after_reference_check,,,abandoned logistics workflow,"no active reference; functionality replaced by configs/statmech_llm/*/protocol.yaml (already frozen); historical manifests are records, not runtime dependencies",configs/statmech_llm/*/protocol.yaml (already frozen),0b2dd50b38f71ad3d96ec5d3556aa9a9a2970e178e8966a4f4c6711cf6dd32cb,5964
scripts/freeze-human-operator-holdout.sh,,delete_after_reference_check,,,abandoned human-operator workflow,"no active reference; functionality replaced by configs/statmech_llm/*/protocol.yaml (already frozen); historical manifests are records, not runtime dependencies",configs/statmech_llm/*/protocol.yaml (already frozen),84373d48fbdfeb1f581990357edf0860c432fed7a527fbcc868bc1a83c9f58d8,152
scripts/freeze-human-operator-v4-holdout.sh,,delete_after_reference_check,,,abandoned human-operator workflow,"no active reference; functionality replaced by configs/statmech_llm/*/protocol.yaml (already frozen); historical manifests are records, not runtime dependencies",configs/statmech_llm/*/protocol.yaml (already frozen),6680347bd56c3abd53dd3f305823f40cdd4f804795d8f001ffdfeb87e45e5f27,172
scripts/freeze-protocol.sh,,delete_after_reference_check,,,abandoned legacy repository workflow,"no active reference; functionality replaced by configs/statmech_llm/*/protocol.yaml (already frozen); historical manifests are records, not runtime dependencies",configs/statmech_llm/*/protocol.yaml (already frozen),c1ab0d6638df000ca5eb878930297ee7c3a5fb525f19f9d10769b2293c2978b0,746
scripts/freeze-statmech-v12-protocol.sh,,delete_after_reference_check,,results/JSTAT/stages/discovery/provenance/stage_record.md,consolidated final-study stage wrapper,"no active reference; functionality replaced by configs/statmech_llm/*/protocol.yaml (already frozen); historical manifests are records, not runtime dependencies",configs/statmech_llm/*/protocol.yaml (already frozen),5fa997e598206a714ed0ee0c06eae250a00af9f27cbdd62ae46cea165c3a7995,325
scripts/freeze-statmech-v13-protocol.sh,,delete_after_reference_check,,results/JSTAT/stages/replication/provenance/preconsolidation_repository_manifest.csv; results/JSTAT/stages/replication/provenance/stage_record.md,consolidated final-study stage wrapper,"no active reference; functionality replaced by configs/statmech_llm/*/protocol.yaml (already frozen); historical manifests are records, not runtime dependencies",configs/statmech_llm/*/protocol.yaml (already frozen),2d9f6991bbc6ffe75f254a7617763836926f9abefd1ba7720113b754f13daa6e,325
scripts/freeze-statmech-v14-protocol.sh,,delete_after_reference_check,,results/JSTAT/stages/corrected_quench/corrections/scientific_audit_1_1/historical_original/report.md; results/JSTAT/stages/corrected_quench/provenance/preconsolidation_index.csv; results/JSTAT/stages/corrected_quench/provenance/preconsolidation_repository_manifest.csv; results/JSTAT/stages/corrected_quench/provenance/stage_record.md,consolidated final-study stage wrapper,"no active reference; functionality replaced by configs/statmech_llm/*/protocol.yaml (already frozen); historical manifests are records, not runtime dependencies",configs/statmech_llm/*/protocol.yaml (already frozen),b3322641ff7fa0bec3639b1b31be57ece72e2eb17eb3ce97485891a3acdb2450,300
scripts/freeze-statmech-v15-protocol.sh,,delete_after_reference_check,,results/JSTAT/stages/cross_model/provenance/preconsolidation_index.csv; results/JSTAT/stages/cross_model/provenance/preconsolidation_repository_manifest.csv,consolidated final-study stage wrapper,"no active reference; functionality replaced by configs/statmech_llm/*/protocol.yaml (already frozen); historical manifests are records, not runtime dependencies",configs/statmech_llm/*/protocol.yaml (already frozen),9a0988feeade53da7fc0a6e87a83a2407a0962fd6a525e8cf8164ddba9931392,400
scripts/freeze-v6-protocol.sh,,delete_after_reference_check,,,superseded entropy-controller workflow,"no active reference; functionality replaced by configs/statmech_llm/*/protocol.yaml (already frozen); historical manifests are records, not runtime dependencies",configs/statmech_llm/*/protocol.yaml (already frozen),c19fb5fc2a0273c5b2fe7acdb0813e59d49e17a30f2856701897fdb171122cf9,659
scripts/freeze-v7-protocol.sh,,delete_after_reference_check,,,superseded entropy-controller workflow,"no active reference; functionality replaced by configs/statmech_llm/*/protocol.yaml (already frozen); historical manifests are records, not runtime dependencies",configs/statmech_llm/*/protocol.yaml (already frozen),e0441e2b1d2ea62eb7cfa28c9ada2a0c6f4660b886b7b1f3a8b476cb69b078b3,248
scripts/freeze-v8-protocol.sh,,delete_after_reference_check,,,superseded entropy-controller workflow,"no active reference; functionality replaced by configs/statmech_llm/*/protocol.yaml (already frozen); historical manifests are records, not runtime dependencies",configs/statmech_llm/*/protocol.yaml (already frozen),f5862774f35f498ccc1510702736fdd39b59ff330a3ca1af50bcca0d6fdb9974,457
scripts/generate-doet-figures.sh,,delete_after_reference_check,,,abandoned logistics workflow,"no active reference; functionality replaced by scripts/generate-figures.sh; historical manifests are records, not runtime dependencies",scripts/generate-figures.sh,36fcf55686409d378c0ed1687cf1187eb09bfe898e0b28751e7b34ecf6594bea,393
scripts/generate-figures.sh,scripts/generate-figures.sh,retain,README.md; docs/reproducibility.md; docs/validation.md; thermoagent/statmech_llm/corrected_quench/reporting.py; thermoagent/statmech_llm/discovery/reporting.py; thermoagent/statmech_llm/replication/reporting.py; thermoagent/statmech_llm/reporting.py; thermoagent/statmech_llm/repository_audit.py; thermoagent/statmech_llm/workflow.py,,regenerate the fourteen publication figures,retained in positive final workflow closure,scripts/generate-figures.sh,0a7e08760475643500fd51ab496a338991ca90693cc018de27e8423738db50e4,394
scripts/generate-human-operator-figures.sh,,delete_after_reference_check,,,abandoned human-operator workflow,"no active reference; functionality replaced by scripts/generate-figures.sh; historical manifests are records, not runtime dependencies",scripts/generate-figures.sh,a3cb5d4238ac0349cd38f598a255d94e1e2d0b84119d3f050f72272a1fd584b6,147
scripts/generate-human-operator-v4-figures.sh,,delete_after_reference_check,,,abandoned human-operator workflow,"no active reference; functionality replaced by scripts/generate-figures.sh; historical manifests are records, not runtime dependencies",scripts/generate-figures.sh,5a6d9977ca76ce60e193382057a0475c19db3ff9906be8c32b12bd84d0c495e2,296
scripts/generate-human-operator-v5-figures.sh,,delete_after_reference_check,,,abandoned human-operator workflow,"no active reference; functionality replaced by scripts/generate-figures.sh; historical manifests are records, not runtime dependencies",scripts/generate-figures.sh,506d1cba41d8cc6d4f07cde349ab8e826ca06b0cd42214a8182b1f81c7312303,381
scripts/generate-statmech-v12-figures.sh,,delete_after_reference_check,,results/JSTAT/stages/discovery/provenance/stage_record.md,consolidated final-study stage wrapper,"no active reference; functionality replaced by scripts/generate-figures.sh; historical manifests are records, not runtime dependencies",scripts/generate-figures.sh,5707cbff2639bafc7749cadc762cda9cc10db287e23aa04aa3b21ab7e1ca2a39,390
scripts/generate-statmech-v13-figures.sh,,delete_after_reference_check,,results/JSTAT/stages/replication/provenance/preconsolidation_repository_manifest.csv; results/JSTAT/stages/replication/provenance/stage_record.md,consolidated final-study stage wrapper,"no active reference; functionality replaced by scripts/generate-figures.sh; historical manifests are records, not runtime dependencies",scripts/generate-figures.sh,c89c5dbcc8cbc76a677a2d2bb6d8a3e7092c84190d113ca08b5018961b5fcaac,226
scripts/generate-statmech-v14-figures.sh,,delete_after_reference_check,,results/JSTAT/stages/corrected_quench/corrections/scientific_audit_1_1/historical_original/report.md; results/JSTAT/stages/corrected_quench/provenance/preconsolidation_index.csv; results/JSTAT/stages/corrected_quench/provenance/preconsolidation_repository_manifest.csv; results/JSTAT/stages/corrected_quench/provenance/stage_record.md,consolidated final-study stage wrapper,"no active reference; functionality replaced by scripts/generate-figures.sh; historical manifests are records, not runtime dependencies",scripts/generate-figures.sh,a00c6c7790bf10f6f384fe6955c62a11dc95c8e3e235a1ce5bcd1a084b8cec3b,201
scripts/generate-statmech-v15-figures.sh,,delete_after_reference_check,,results/JSTAT/stages/cross_model/provenance/preconsolidation_index.csv; results/JSTAT/stages/cross_model/provenance/preconsolidation_repository_manifest.csv; results/JSTAT/stages/cross_model/provenance/stage_record.md,consolidated final-study stage wrapper,"no active reference; functionality replaced by scripts/generate-figures.sh; historical manifests are records, not runtime dependencies",scripts/generate-figures.sh,81a3bf505ae79ff5fa73073bf2e3f07831106a7b5e33878394cca922d14d80d4,384
scripts/generate-v6-figures.sh,,delete_after_reference_check,,,superseded entropy-controller workflow,"no active reference; functionality replaced by scripts/generate-figures.sh; historical manifests are records, not runtime dependencies",scripts/generate-figures.sh,5fe31301eb3fb6121d9a4cabdea18b8ade0736fb1f401b5210fcafc0003fa736,626
scripts/generate-v7-figures.sh,,delete_after_reference_check,,,superseded entropy-controller workflow,"no active reference; functionality replaced by scripts/generate-figures.sh; historical manifests are records, not runtime dependencies",scripts/generate-figures.sh,e60bbbefc2bf5690f7d99ce78edd51b6edeabeb47c8d6cf642d8e5084ec630c3,249
scripts/generate-v8-figures.sh,,delete_after_reference_check,,,superseded entropy-controller workflow,"no active reference; functionality replaced by scripts/generate-figures.sh; historical manifests are records, not runtime dependencies",scripts/generate-figures.sh,d3b2b8a176f0f213789315e397643d941839e227575cefa72fd11b5e0f3fed1c,509
scripts/human-operator-common.sh,,delete_after_reference_check,,,abandoned human-operator workflow,"no active reference; functionality replaced by Git history; no current publication workflow role; historical manifests are records, not runtime dependencies",Git history; no current publication workflow role,10ab996fcea2f790abb0dff092a6e60c353fc8184973aa34f81c81905ad4b3a7,858
scripts/index-v6-artifacts.sh,,delete_after_reference_check,,,superseded entropy-controller workflow,"no active reference; functionality replaced by Git history; no current publication workflow role; historical manifests are records, not runtime dependencies",Git history; no current publication workflow role,f46f7f3a35aa0989203403fd818ca719ebd7306d6e213963fbd9011416ac7d02,464
scripts/index-v7-artifacts.sh,,delete_after_reference_check,,,superseded entropy-controller workflow,"no active reference; functionality replaced by Git history; no current publication workflow role; historical manifests are records, not runtime dependencies",Git history; no current publication workflow role,03c7717c8dfc6d3d7ef73695e89dd5c39be53dfde2823b77002f510569b0d9f4,248
scripts/index-v8-artifacts.sh,,delete_after_reference_check,,,superseded entropy-controller workflow,"no active reference; functionality replaced by Git history; no current publication workflow role; historical manifests are records, not runtime dependencies",Git history; no current publication workflow role,e2844fd5ad8898801ed147348af415e3feb10a229c4dd0a0eda6bb101a3012c8,437
